Kritik dan saran,translated,clean_text
Pelayanan yang dilakukan petugas BAA kepada mahasiswa lebih cenderung tidak ramah bila yang dilayani adalah seorang mahasiswa laki laki. terimakasih.,The service provided by BAA officers to students is more likely to be unfriendly if the person being served is a male student. Thank You.,the service provided by baa officers to students is more likely to be unfriendly if the person being served is a male student. thank you.
"Assalamu'alaikum..
mohon maaf sebelumnya kepada Bapak Ibu di tempat. tanpa mengurangi rasa hormat.
saya menyayangkan oleh pihak BAA. contoh : ketika mengurus biodata diri.
kenapa biodata diri tidak bisa di akses mandiri oleh mahasiswa?
karena ketika ada mahasiswa yang menulis biodata diri terdapat ada kesalahan, mungkin bisa memperbarui sendiri. terimakasih
  ","Assalamu'alaikum..
apologize in advance to the ladies and gentlemen on the spot. with all due respect.
I regret it by BAA. example: when managing personal biodata.
Why can't students access their personal data independently?
because when a student writes their personal bio there are errors, maybe they can update it themselves. Thank You
  ","assalamu'alaikum..
apologize in advance to the ladies and gentlemen on the spot. with all due respect.
i regret it by baa. example: when managing personal biodata.
why can't students access their personal data independently?
because when a student writes their personal bio there are errors, maybe they can update it themselves. thank you
  "
"Proses mengurus berkas/administrasi akademik belum cukup jelas dan terkadang tidak efektif, terutama bagi mahasiswa praktik/coass yang ditempatkan jauh dari kampus UMS, sedangkan sebagian besar berkas harus di urus di area kampus","The process for managing academic files/administration is not clear enough and is sometimes ineffective, especially for practical/coass students who are placed far from the UMS campus, while most of the files must be handled in the campus area","the process for managing academic files/administration is not clear enough and is sometimes ineffective, especially for practical/coass students who are placed far from the ums campus, while most of the files must be handled in the campus area"
"Saya ke BAA utk mengurus matkul yg blm keluar di krs, saya ke BAA untuk menanyakan bagaimana caranya tapi sampai di petugasnya saya dimarahi kata petugasnya *saya capek kalau suruh menerangkan ke seribu mahasiswa setiap harinya* saya kaget saya yg baru ruangan kenapa saya malah dimarahin ","I went to BAA to take care of the subjects that hadn't been released yet at KRS, I went to BAA to ask how but when I got to the officer I was scolded by the officer said *I'm tired of being told to explain to a thousand students every day* I was surprised that I was a new student why was I even scolded ","i went to baa to take care of the subjects that hadn't been released yet at krs, i went to baa to ask how but when i got to the officer i was scolded by the officer said *i'm tired of being told to explain to a thousand students every day* i was surprised that i was a new student why was i even scolded "
"Kadang masuk BAA bingung, harus ngurus ini kemana dan itu kemana. karena tidak ada pusat informasi maupun tag nama/bagian dari masing masing petugas jadi kadang agak bingung ngurusnya kepetugas mana dan kadang mau tanya juga bingung tanya siapa.","Sometimes when we enter BAA we are confused, where should we take care of this and that. because there is no information center or name tags for each officer, so sometimes it's a bit confusing which officer to take care of and sometimes I'm confused about who to ask.","sometimes when we enter baa we are confused, where should we take care of this and that. because there is no information center or name tags for each officer, so sometimes it's a bit confusing which officer to take care of and sometimes i'm confused about who to ask."
Petugas dibagian untuk pengumpulan berkas guna membuat surat keterangan mahasiswa seperti untuk BPJS dsb kurang ramah dalam pelayanannya dan pakaian kurang formal,"The officers in the section for collecting files to make student certificates, such as for BPJS, etc., are less friendly in their service and less formal in their clothing","the officers in the section for collecting files to make student certificates, such as for bpjs, etc., are less friendly in their service and less formal in their clothing"
"Saya merasa pelayanan di BAA kurang ramah, saat mahasiswa memberikan keluhan atau pertanyaan tidak direspon dengan baik bahkan sering kali berkata dengan nada tinggi kepada mahasiswa. seringkali saya menemui petugas tidak ada ditempat saat jam kerja, dan ada juga yang hanya nonton youtube saat jam kerja. seringkali pelayanannya lama.","I feel that the service at BAA is not friendly, when students make complaints or questions they are not responded to well and often speak in a high tone to the students. I often find that officers are not there during working hours, and there are also those who only watch YouTube during working hours. often the service takes a long time.","i feel that the service at baa is not friendly, when students make complaints or questions they are not responded to well and often speak in a high tone to the students. i often find that officers are not there during working hours, and there are also those who only watch youtube during working hours. often the service takes a long time."
Waktu buka hanya sebentar mahasiswa kuliah sampai jam 3 tpi kantor BAA hanya buka sampai jam 2 dan terkadang jam set 2 sudah tidak mau melayani mahasiswa,The opening time is only short for college students until 3 o'clock but the BAA office is only open until 2 o'clock and sometimes at 2 o'clock they don't want to serve students,the opening time is only short for college students until 3 o'clock but the baa office is only open until 2 o'clock and sometimes at 2 o'clock they don't want to serve students
"Ada petugas yang kurang ramah saat melayani. Ketika mahasiswa meminta transkrip nilai, diminta untuk mencetak sendiri, padahal saat itu belum tahu bagaimana caranya.","There are officers who are not friendly when serving. When students asked for transcripts, they were asked to print them themselves, even though at that time they didn't know how.","there are officers who are not friendly when serving. when students asked for transcripts, they were asked to print them themselves, even though at that time they didn't know how."
"Jika ingin mengajukan surat atau keperluan mengenai surat menyurat, tidak tercantum jelas persyaratan. Dan harus bertanya. Ini membuat mahasiswa tidak bisa menyiapkan sebelumnya.","If you want to submit a letter or need a letter, there are no clear requirements. And have to ask. This means students cannot prepare beforehand.","if you want to submit a letter or need a letter, there are no clear requirements. and have to ask. this means students cannot prepare beforehand."
"Kendala pada saat mengisi KRS bagi mahasiswa, Pelayanan mengenai keluhan tidak ditanggapi dengan cepat sehingga tidak efisien untuk mahasiswa.",The problem when filling out the KRS for students is that the service regarding complaints is not responded to quickly so it is not efficient for students.,the problem when filling out the krs for students is that the service regarding complaints is not responded to quickly so it is not efficient for students.
Informasi yang tidak sinkron antara fakultas dengan BAA terkadang membuat mahasiswa tidak bisa segera terpenuhi kebutuhannya terkait administratif kampus. Terkadang beberapa petugas kurang ramah.,Information that is not in sync between the faculty and BAA sometimes means that students cannot immediately fulfill their needs regarding campus administration. Sometimes some officers are not friendly.,information that is not in sync between the faculty and baa sometimes means that students cannot immediately fulfill their needs regarding campus administration. sometimes some officers are not friendly.
kalau bisa datang dan perginya waktu nya jelas. on time jangan seenaknya datang dan perginya. berikan keterangan agar mahasiswa yang membutuhkan kepastian bisa segera mendapat info,"If you can come and go at a clear time. on time, don't just come and go. provide information so that students who need confirmation can immediately get information","if you can come and go at a clear time. on time, don't just come and go. provide information so that students who need confirmation can immediately get information"
